"","Gross.Charges.Itemcode","Gross.Charges.Description","Gross.Charges.CDM.Revenue.Code","Gross.Charges.HMC.DEFAULT","Gross.Charges.HMC.DEFAULT.Discount.Cash.Price","Gross.Charges.HB.UW.MEDICINE.SHARED.PURCHASED.LAB.SERVICES","Gross.Charges.HB.UW.MEDICINE.SHARED.PURCHASED.LAB.SERVICES.Discount.Cash.Price","Gross.Charges.HMC.DEFAULT..MOD.50.","Gross.Charges.HMC.DEFAULT..MOD.50..Discount.Cash.Price","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS.Discount.Cash.Price","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS..W.MOD.","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS..W.MOD..Discount.Cash.Price","Gross.Charges.CDM.Hcpcs","Gross.Charges.CDM.Modifier","Gross.Charges.Note"
"1","01200001","HC LEVEL-1 ROOM & BOARD","120","3,264","2284.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"2","01200002","HC LEVEL-2 ROOM & BOARD","120","4,159","2911.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"3","01200003","HC LEVEL-3 ROOM & BOARD","120","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"4","01200004","HC LEVEL-4 ROOM & BOARD (SEMI-PRIVATE 2 BEDS)","120","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5","01200005","HC VENTILATOR DEPENDENT","120","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"6","01210001","HC LEVEL-1MEDICAL/SURGICAL/GYN","121","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"7","01220001","HC LEVEL-1 OB ROOM","122","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"8","01220002","HC LEVEL-2 OB ROOM","122","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"9","01220003","HC LEVEL-3 OB ROOM","122","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"10","01240001","HC LEVEL-1 PSYCHIATRIC ROOM","124","3,085","2159.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"11","01240002","HC LEVEL-2 PSYCHIATRIC ROOM","124","4,561","3192.7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"12","01250001","HC R&B HOSPICE","120","2,574","1801.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"13","01270001","HC LEVEL-1 ONCOLOGY ROOM","127","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"14","01270002","HC LEVEL-2 ONCOLOGY ROOM","127","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"15","01280001","HC LEVEL-1 REHAB ROOM","128","3,716","2601.2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"16","01280002","HC LEVEL-2 REHAB ROOM","128","4,295","3006.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"17","01280003","HC LEVEL-3 REHAB ROOM","128","4,295","3006.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"18","01690001","HC ADMIN DAYS ROOM AND BOARD","169","3,264","2284.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"19","01700001","HC NURSERY GENERAL","170","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"20","01710001","HC LEVEL-1 NEWBORN ROUTINE","171","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"21","01720001","HC LEVEL-2 NEWBORN LBW","172","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"22","01730001","HC LEVEL-3 NEWBORN INTERMEDIATE","173","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"23","01740001","HC LEVEL-4 NEWBORN ICU","174","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"24","01800001","HC LEAVE OF ABSENCE","180","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"25","02000001","HC LEVEL-1 ICU","200","11,784","8248.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"26","02000002","HC LEVEL-2 ICU","200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"27","02000003","HC LEVEL-3 ICU","200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"28","02000004","HC LEVEL-4 ICU","200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"29","02010001","HC LEVEL-1 ICU SURGICAL","201","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"30","02040001","HC LEVEL-1 ICU PSYCH","204","4,146","2902.2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"31","02060001","HC INTERMEDIATE CARE ICU","206","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"32","02070001","HC LEVEL-1 ICU BURN UNIT","207","11,359","7951.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"33","02100001","HC LEVEL-1 CORONARY CARE UNIT","210","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"34","02200001","HC NONCOVERED ITEM OR SERVICE","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","A9270","GY",NA
"35","02200002","HC RETURNED HEARING INSTRUMENT FEE","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"36","02200003","HC EC DEFAULT LN2 TECH CHARGE","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"37","02200004","HC STUDY CT SEQUENCING","350","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","76499","GY",NA
"38","02200005","HC PROCESS & EMBED A PARAFFIN BLOCK","220","9","6.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"39","02200006","HC SPECIAL STAIN, LEVEL 1","220","19","13.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"40","02200007","HC ANTIBODY STAIN BY IHC","220","19","13.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"41","02200008","HC CUT AN UNSTAINED SLIDE","220","3","2.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"42","02200009","HC CUT AN STAIN AN H&E SLIDE","220","9","6.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"43","02200010","HC  STUDY UNLISTED MRI UP TO 15 MINS","610","1,690","1183","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","76498","GY",NA
"44","02200011","HC STUDY CT HAND WO CONT , ANIMAL OR CADAVER","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","76497",NA,NA
